Cruise news|2023 01|9919228892902836|22383868940002836|23393760240002836
The Geraldine news|2023 02 09|9914793303502836|22215616190002836|23393760160002836
The Geraldine news|2023 02 02|9914793303502836|22215616190002836|23393760030002836
The Geraldine news|2023 02 16|9914793303502836|22215616190002836|23393730160002836
Kaipara lifestyler|2023 02 07|9914758883502836|22254819960002836|23393760020002836
Kaipara lifestyler|2023 02 14|9914758883502836|22254819960002836|23393760010002836
Kaipara lifestyler|2023 01 31|9914758883502836|22254819960002836|23393730140002836
The weekend lifestyler|2023 02 10|9918994269002836|22350801370002836|23393759980002836
The weekend lifestyler|2023 02 03|9918994269002836|22350801370002836|23393759960002836
Nelson weekly|2023 02 15|9915184713502836|22199835210002836|23393759950002836
Nelson weekly|2023 02 01|9915184713502836|22199835210002836|23393759940002836
Nelson weekly|2023 02 08|9915184713502836|22199835210002836|23393730110002836
Nelson magazine|2023 02|9918755172802836|22326741860002836|23393730090002836
Weekend Sun|2023 02 03|9915789603502836|22183434080002836|23393759930002836
Weekend Sun|2023 01 27|9915789603502836|22183434080002836|23393730050002836
Weekend Sun|2023 02 10|9915789603502836|22183434080002836|23393730040002836
Coast and country news|2023 02|9915789723502836|22183371940002836|23393759910002836
Education Gazette|v. 102, no. 1 (2023)|9919119906902836|22369219170002836|23393759900002836
Farmers weekly|2023 01 30|9917891153502836|22245640500002836|23393759890002836
Farmers weekly|2023 02 13|9917891153502836|22245640500002836|23393759880002836
Farmers weekly|2023 02 06|9917891153502836|22245640500002836|23393730020002836
Schoolnews|2023 01|9913172243502836|22192177230002836|23393730010002836
Army news|iss. 539 (2023 01)|9912611043502836|22242423450002836|23393730000002836
New Zealand winegrower official journal|2023 03|9913342393502836|22250382280002836|23393729990002836
Food New Zealand|2023 02|9919009865802836|22353529270002836|23393759870002836
Ponsonby news|2023 02|9912050963502836|22236734980002836|23393729980002836
Drinksbiz|2023 02|9918755169202836|22326737190002836|23393759860002836
The sun Blenheim Marlborough|2023 02 01|9915185273502836|22200057560002836|23393759850002836
The sun Blenheim Marlborough|2023 02 15|9915185273502836|22200057560002836|23393729960002836
The sun Blenheim Marlborough|2023 02 08|9915185273502836|22200057560002836|23393759840002836
Concrete|v. 62, iss. 02 (2023)|9913980103502836|22187413160002836|23393729950002836
The Devonport Flagstaff|2023 02 10|9918167067402836|22294300770002836|23393759830002836
The G.B. weekly|2023 02 03|9916664593502836|22215752620002836|23393759820002836
The G.B. weekly|2023 02 10|9916664593502836|22215752620002836|23393729940002836
The G.B. weekly|2023 01 27|9916664593502836|22215752620002836|23393759810002836
